@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
140,350,4,69011,1220,0.982629,0.988701,0.005046,0.988701,0.994954,0.010041,0.982659,1.006148,0.001941
141,350,4,69010,1221,0.982615,0.988701,0.005046,0.988701,0.994954,0.010041,0.982645,1.006162,0.001941
142,350,4,69009,1222,0.9826,0.988701,0.005046,0.988701,0.994954,0.010041,0.982631,1.006177,0.001941
143,350,4,69008,1223,0.982586,0.988701,0.005046,0.988701,0.994954,0.010041,0.982617,1.006191,0.001941
144,350,4,69007,1224,0.982572,0.988701,0.005046,0.988701,0.994954,0.010041,0.982603,1.006206,0.001941
145,350,4,69006,1225,0.982558,0.988701,0.005046,0.988701,0.994954,0.010042,0.982588,1.006221,0.001941
146,350,4,69005,1226,0.982543,0.988701,0.005046,0.988701,0.994954,0.010042,0.982574,1.006235,0.001941
147,350,4,69004,1227,0.982529,0.988701,0.005047,0.988701,0.994953,0.010042,0.98256,1.00625,0.001941
148,350,4,69003,1228,0.982515,0.988701,0.005047,0.988701,0.994953,0.010042,0.982546,1.006264,0.001941
149,350,4,69002,1229,0.982501,0.988701,0.005047,0.988701,0.994953,0.010042,0.982532,1.006279,0.001941
150,350,4,69001,1230,0.982486,0.988701,0.005047,0.988701,0.994953,0.010042,0.982518,1.006293,0.001941
151,350,4,69000,1231,0.982472,0.988701,0.005047,0.988701,0.994953,0.010042,0.982503,1.006308,0.001941
152,350,4,68999,1232,0.982458,0.988701,0.005047,0.988701,0.994953,0.010043,0.982489,1.006322,0.001941
153,350,4,68998,1233,0.982444,0.988701,0.005047,0.988701,0.994953,0.010043,0.982475,1.006337,0.001941
154,350,4,68997,1234,0.982429,0.988701,0.005047,0.988701,0.994953,0.010043,0.982461,1.006351,0.001941
155,350,4,68996,1235,0.982415,0.988701,0.005047,0.988701,0.994953,0.010043,0.982447,1.006366,0.001941
156,350,4,68995,1236,0.982401,0.988701,0.005047,0.988701,0.994953,0.010043,0.982433,1.00638,0.001941
157,350,4,68994,1237,0.982387,0.988701,0.005047,0.988701,0.994953,0.010043,0.982418,1.006395,0.001941
158,350,4,68993,1238,0.982372,0.988701,0.005047,0.988701,0.994953,0.010043,0.982404,1.006409,0.001941
159,350,4,68992,1239,0.982358,0.988701,0.005047,0.988701,0.994953,0.010044,0.98239,1.006424,0.001942
160,350,4,68991,1240,0.982344,0.988701,0.005048,0.988701,0.994952,0.010044,0.982376,1.006438,0.001942
161,350,4,68990,1241,0.98233,0.988701,0.005048,0.988701,0.994952,0.010044,0.982362,1.006453,0.001942
162,350,4,68989,1242,0.982316,0.988701,0.005048,0.988701,0.994952,0.010044,0.982348,1.006467,0.001942
163,350,4,68988,1243,0.982301,0.988701,0.005048,0.988701,0.994952,0.010044,0.982333,1.006482,0.001942
164,350,4,68987,1244,0.982287,0.988701,0.005048,0.988701,0.994952,0.010044,0.982319,1.006496,0.001942
165,350,4,68986,1245,0.982273,0.988701,0.005048,0.988701,0.994952,0.010044,0.982305,1.006511,0.001942
166,350,4,68985,1246,0.982259,0.988701,0.005048,0.988701,0.994952,0.010045,0.982291,1.006525,0.001942
167,350,4,68984,1247,0.982244,0.988701,0.005048,0.988701,0.994952,0.010045,0.982277,1.00654,0.001942
168,350,4,68983,1248,0.98223,0.988701,0.005048,0.988701,0.994952,0.010045,0.982263,1.006554,0.001942
169,350,4,68982,1249,0.982216,0.988701,0.005048,0.988701,0.994952,0.010045,0.982248,1.006569,0.001942
170,350,4,68981,1250,0.982202,0.988701,0.005048,0.988701,0.994952,0.010045,0.982234,1.006583,0.001942
171,350,4,68980,1251,0.982187,0.988701,0.005048,0.988701,0.994952,0.010045,0.98222,1.006598,0.001942
172,350,4,68979,1252,0.982173,0.988701,0.005048,0.988701,0.994952,0.010045,0.982206,1.006612,0.001942
173,350,4,68978,1253,0.982159,0.988701,0.005048,0.988701,0.994952,0.010046,0.982192,1.006627,0.001944
174,350,4,68977,1254,0.982145,0.988701,0.005049,0.988701,0.994951,0.010046,0.982178,1.006641,0.002254
175,350,4,68976,1255,0.98213,0.988701,0.005049,0.988701,0.994951,0.010046,0.982163,1.006656,0.002298
176,350,4,68972,1259,0.982073,0.988701,0.005049,0.988701,0.994951,0.010047,0.982107,1.006714,0.002305
177,350,4,68965,1266,0.981974,0.988701,0.005049,0.988701,0.994951,0.010048,0.982008,1.006816,0.002308
178,350,4,68957,1274,0.98186,0.988701,0.00505,0.988701,0.99495,0.010049,0.981894,1.006932,0.002309
179,350,4,68956,1275,0.981846,0.988701,0.00505,0.988701,0.99495,0.010049,0.98188,1.006946,0.002311
180,350,4,68950,1281,0.98176,0.988701,0.005051,0.988701,0.994949,0.01005,0.981795,1.007034,0.002312
181,350,4,68946,1285,0.981703,0.988701,0.005051,0.988701,0.994949,0.01005,0.981738,1.007092,0.002314
182,350,4,68945,1286,0.981689,0.988701,0.005051,0.988701,0.994949,0.01005,0.981724,1.007106,0.002314
183,350,4,68944,1287,0.981675,0.988701,0.005051,0.988701,0.994949,0.010051,0.98171,1.007121,0.002317
184,350,4,68942,1289,0.981646,0.988701,0.005051,0.988701,0.994949,0.010051,0.981682,1.00715,0.002317
185,350,4,68941,1290,0.981632,0.988701,0.005051,0.988701,0.994949,0.010051,0.981667,1.007164,0.002317
186,350,4,68938,1293,0.981589,0.988701,0.005051,0.988701,0.994949,0.010051,0.981625,1.007208,0.002317
187,350,4,68937,1294,0.981575,0.988701,0.005051,0.988701,0.994949,0.010052,0.981611,1.007223,0.002318
188,350,4,68935,1296,0.981547,0.988701,0.005052,0.988701,0.994948,0.010052,0.981582,1.007252,0.002318
