@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
117,1,0,338,486,0.410194,1,0.00295,1,0.99705,0.005882,0.410909,?,0.0269
118,1,0,299,525,0.362864,1,0.003333,1,0.996667,0.006645,0.363636,?,0.026938
119,0,1,299,525,0.362864,0,0,0,1,0,0.362424,?,0.027559
120,0,1,297,527,0.360437,0,0,0,1,0,0.36,?,0.02769
121,0,1,296,528,0.359223,0,0,0,1,0,0.358788,?,0.027807
122,0,1,295,529,0.35801,0,0,0,1,0,0.357576,?,0.028267
123,0,1,294,530,0.356796,0,0,0,1,0,0.356364,?,0.028402
124,0,1,292,532,0.354369,0,0,0,1,0,0.353939,?,0.028469
125,0,1,287,537,0.348301,0,0,0,1,0,0.347879,?,0.028579
126,0,1,286,538,0.347087,0,0,0,1,0,0.346667,?,0.030031
127,0,1,284,540,0.34466,0,0,0,1,0,0.344242,?,0.030102
128,0,1,283,541,0.343447,0,0,0,1,0,0.34303,?,0.03046
129,0,1,279,545,0.338592,0,0,0,1,0,0.338182,?,0.030532
130,0,1,274,550,0.332524,0,0,0,1,0,0.332121,?,0.030604
131,0,1,265,559,0.321602,0,0,0,1,0,0.321212,?,0.030605
132,0,1,264,560,0.320388,0,0,0,1,0,0.32,?,0.030676
133,0,1,187,637,0.226942,0,0,0,1,0,0.226667,?,0.030977
134,0,1,186,638,0.225728,0,0,0,1,0,0.225455,?,0.032036
135,0,1,185,639,0.224515,0,0,0,1,0,0.224242,?,0.033488
136,0,1,184,640,0.223301,0,0,0,1,0,0.22303,?,0.034306
137,0,1,183,641,0.222087,0,0,0,1,0,0.221818,?,0.034335
138,0,1,182,642,0.220874,0,0,0,1,0,0.220606,?,0.034335
139,0,1,181,643,0.21966,0,0,0,1,0,0.219394,?,0.034467
140,0,1,180,644,0.218447,0,0,0,1,0,0.218182,?,0.035134
141,0,1,179,645,0.217233,0,0,0,1,0,0.21697,?,0.03568
142,0,1,178,646,0.216019,0,0,0,1,0,0.215758,?,0.039529
143,0,1,177,647,0.214806,0,0,0,1,0,0.214545,?,0.040112
144,0,1,176,648,0.213592,0,0,0,1,0,0.213333,?,0.04037
145,0,1,175,649,0.212379,0,0,0,1,0,0.212121,?,0.040465
